TRADEDATE,BOARDID,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
2016-01-28,CNGD,USDRUB_TOM,USD000UTSTOM,77.667,75.81,77.667,75.84,32,6603021333.9,
2016-01-29,CETS,USDRUB_TOM,USD000UTSTOM,75.78,74.572,76.685,75.43,100382,525758601299.0,75.5615
2016-01-29,CNGD,USDRUB_TOM,USD000UTSTOM,76.39699999999999,74.85,76.39699999999999,74.85,22,6651780959.95,
2016-02-01,CETS,USDRUB_TOM,USD000UTSTOM,75.73,75.454,77.455,77.31,85276,400923918749.0,76.3081
2016-02-01,CNGD,USDRUB_TOM,USD000UTSTOM,75.43,75.4,76.653,75.54,27,6094985103.0,
2016-02-02,CETS,USDRUB_TOM,USD000UTSTOM,78.138,77.714,79.847,79.755,105205,541015120916.0,78.89399999999999
2016-02-02,CNGD,USDRUB_TOM,USD000UTSTOM,77.9205,77.31,79.59,79.2,31,7027700819.5,
2016-02-03,CETS,USDRUB_TOM,USD000UTSTOM,79.452,76.661,79.9,76.904,112268,544884784990.0,78.563
2016-02-03,CNGD,USDRUB_TOM,USD000UTSTOM,79.755,78.0,79.755,78.0,26,3174824844.7,
2016-02-04,CETS,USDRUB_TOM,USD000UTSTOM,76.678,75.544,77.308,76.969,101512,534714876004.0,76.4313
2016-02-04,CNGD,USDRUB_TOM,USD000UTSTOM,76.904,75.9,77.25,75.9,20,4962107495.0,
2016-02-05,CETS,USDRUB_TOM,USD000UTSTOM,76.984,76.34,77.766,77.47,81006,415551113894.0,77.1327
2016-02-05,CNGD,USDRUB_TOM,USD000UTSTOM,76.1,76.1,77.5,77.39,17,2097230000.0,
2016-02-08,CETS,USDRUB_TOM,USD000UTSTOM,76.878,76.382,79.079,78.544,81297,417759483116.0,77.3314
2016-02-08,CNGD,USDRUB_TOM,USD000UTSTOM,76.8711,76.457,77.35,77.35,25,4766584220.7,
2016-02-09,CETS,USDRUB_TOM,USD000UTSTOM,78.91199999999999,78.07,79.96300000000001,79.70100000000001,94049,528369995471.0,78.7364
2016-02-09,CNGD,USDRUB_TOM,USD000UTSTOM,79.16,78.2,79.16,79.16,29,9908554900.0,
2016-02-10,CETS,USDRUB_TOM,USD000UTSTOM,79.619,77.62,80.035,78.60600000000001,82098,407175478513.0,78.7701
2016-02-10,CNGD,USDRUB_TOM,USD000UTSTOM,78.9205,77.9,79.413,78.62,21,5300456492.66,
2016-02-11,CETS,USDRUB_TOM,USD000UTSTOM,78.893,78.683,80.64,79.592,104687,586897806135.0,79.7347
2016-02-11,CNGD,USDRUB_TOM,USD000UTSTOM,78.60600000000001,78.60600000000001,80.475,80.475,32,6492833339.4,
2016-02-12,CETS,USDRUB_TOM,USD000UTSTOM,79.3,78.12100000000001,79.785,78.34,72754,391107678305.0,79.2274
2016-02-12,CNGD,USDRUB_TOM,USD000UTSTOM,79.17,79.17,79.89,79.71,20,3805590792.0,
2016-02-15,CETS,USDRUB_TOM,USD000UTSTOM,77.917,76.9,78.014,76.95,60696,292114093476.0,77.5435
2016-02-15,CNGD,USDRUB_TOM,USD000UTSTOM,77.8,76.93,77.97,77.62,17,1655214840.0,
2016-02-16,CETS,USDRUB_TOM,USD000UTSTOM,76.5,75.90100000000001,78.155,77.899,88900,482065056417.0,77.1285
2016-02-16,CNGD,USDRUB_TOM,USD000UTSTOM,76.459,75.94,77.98,77.98,23,4514175975.76,
2016-02-17,CETS,USDRUB_TOM,USD000UTSTOM,77.995,74.631,78.32600000000001,75.032,89411,438639205365.0,76.6775
2016-02-17,CNGD,USDRUB_TOM,USD000UTSTOM,77.89,76.45,78.24,77.18,32,5198016689.0,
2016-02-18,CETS,USDRUB_TOM,USD000UTSTOM,75.12,74.867,76.5,76.5,77769,400669120980.0,75.4839
2016-02-18,CNGD,USDRUB_TOM,USD000UTSTOM,74.99,74.95,75.85,75.51,34,6595138798.35,
2016-02-19,CETS,USDRUB_TOM,USD000UTSTOM,76.52199999999999,76.02,77.9,76.986,68672,350554371249.0,76.8459
2016-02-19,CNGD,USDRUB_TOM,USD000UTSTOM,76.425,76.0,77.35,77.35,30,8173510558.5,
